WAARNEMINGDATUM HH NTU_h
2020-09-03 22 21
2020-09-03 23 19
2021-09-03 01 5
2021-09-03 02 4.33333333333333
2021-09-03 05 18
2021-09-03 07 6
2021-09-03 09 4
2021-09-03 10 4
2021-09-03 11 6
2021-09-03 12 4
2021-09-03 13 4
2021-09-03 14 5
2021-09-03 15 4.6
2021-09-03 20 5
2021-09-03 21 6
2021-09-03 23 7
2020-10-03 00 17
2020-10-03 01 19
2020-10-03 03 18
2020-10-03 07 21
2020-10-03 08 18
2020-10-03 09 14
2020-10-03 10 14.5
2020-10-03 11 13
2020-10-03 12 12
2020-10-03 13 12
2020-10-03 14 11
2020-10-03 15 13
2020-10-03 16 13.75
2020-10-03 17 17
2020-10-03 18 16.5
2020-10-03 19 15
2020-10-03 20 14
2020-10-03 21 12
2020-10-03 22 14
2021-10-03 00 29.6666666666667
2021-10-03 01 31
2021-10-03 02 30
2021-10-03 04 22
2021-10-03 05 22
2021-10-03 06 19
2021-10-03 07 17.75
2021-10-03 08 15
2021-10-03 10 15
2021-10-03 11 20
2021-10-03 12 16
2021-10-03 14 20.3333333333333
2021-10-03 15 16
2021-10-03 16 17
2021-10-03 17 11
2021-10-03 20 23.5
2021-10-03 22 26
2020-11-03 00 36
2020-11-03 01 28
2020-11-03 02 43
2020-11-03 04 27
2020-11-03 06 25
2020-11-03 07 37
2020-11-03 09 40
2020-11-03 10 26
2020-11-03 11 31
2020-11-03 12 28
2020-11-03 13 39
2020-11-03 15 33
2020-11-03 16 42.6666666666667
2020-11-03 17 30
2020-11-03 19 29
2020-11-03 21 46
2020-11-03 22 43
2020-11-03 23 42
2021-11-03 00 13
2021-11-03 05 14
2021-11-03 09 11
2021-11-03 11 13
2021-11-03 13 9.5
2021-11-03 14 7
2021-11-03 15 7
2021-11-03 16 7
2021-11-03 18 7
2021-11-03 19 10.3333333333333
2021-11-03 20 7
2020-12-03 00 11
2020-12-03 01 13
2020-12-03 03 15.6
2020-12-03 05 21
2020-12-03 06 22
2020-12-03 08 21.3333333333333
2020-12-03 09 20.5
2020-12-03 10 20.8
2020-12-03 11 21.5
2020-12-03 12 22
2020-12-03 13 21.3333333333333
2020-12-03 15 21
2020-12-03 17 22.3333333333333
2020-12-03 18 24
2020-12-03 19 24.5
2020-12-03 20 27
2020-12-03 21 28
2020-12-03 22 31
2021-12-03 00 17
2021-12-03 01 16
2021-12-03 03 18
2021-12-03 04 19
2021-12-03 05 22
2021-12-03 06 22.6666666666667
2021-12-03 07 25
2021-12-03 09 27
2021-12-03 10 30
2021-12-03 13 41.3333333333333
2021-12-03 14 44
2021-12-03 15 42
2021-12-03 16 43
2021-12-03 18 44
2021-12-03 19 42
2021-12-03 20 42
2021-12-03 21 43.5
2021-12-03 22 43
2020-01-04 00 337.916666666667
2020-01-04 01 297.583333333333
2020-01-04 02 291.75
2020-01-04 03 274.833333333333
2020-01-04 04 333.75
2020-01-04 05 347.166666666667
2020-01-04 06 380.166666666667
2020-01-04 07 371.083333333333
2020-01-04 08 353.5
